wordID,userID,condition,block,score
donderdag,R_RKX6uClkalzSL5L,C,3,0
dinsdag,R_RKX6uClkalzSL5L,C,1,1
dinsdag,R_RKX6uClkalzSL5L,C,2,0
dinsdag,R_RKX6uClkalzSL5L,C,3,0
schoonheidssalon,R_RKX6uClkalzSL5L,C,1,0
schoonheidssalon,R_RKX6uClkalzSL5L,C,2,0
schoonheidssalon,R_RKX6uClkalzSL5L,C,3,1
badkamer,R_RKX6uClkalzSL5L,C,1,0
badkamer,R_RKX6uClkalzSL5L,C,2,0
badkamer,R_RKX6uClkalzSL5L,C,3,0
rest,R_RKX6uClkalzSL5L,NC,1,0
rest,R_RKX6uClkalzSL5L,NC,2,1
rest,R_RKX6uClkalzSL5L,NC,3,0
klimaat,R_RKX6uClkalzSL5L,NC,1,1
klimaat,R_RKX6uClkalzSL5L,NC,2,0
klimaat,R_RKX6uClkalzSL5L,NC,3,0
vuur,R_RKX6uClkalzSL5L,NC,1,1
vuur,R_RKX6uClkalzSL5L,NC,2,1
vuur,R_RKX6uClkalzSL5L,NC,3,1
gebed,R_RKX6uClkalzSL5L,NC,1,1
gebed,R_RKX6uClkalzSL5L,NC,2,0
gebed,R_RKX6uClkalzSL5L,NC,3,1
energie,R_RKX6uClkalzSL5L,NC,1,0
energie,R_RKX6uClkalzSL5L,NC,2,0
energie,R_RKX6uClkalzSL5L,NC,3,0
omstandigheden,R_RKX6uClkalzSL5L,C,1,0
omstandigheden,R_RKX6uClkalzSL5L,C,2,0
omstandigheden,R_RKX6uClkalzSL5L,C,3,1
liefde,R_RKX6uClkalzSL5L,C,1,0
liefde,R_RKX6uClkalzSL5L,C,2,0
liefde,R_RKX6uClkalzSL5L,C,3,0
baas,R_RKX6uClkalzSL5L,C,1,0
baas,R_RKX6uClkalzSL5L,C,2,1
baas,R_RKX6uClkalzSL5L,C,3,0
burgemeester,R_RKX6uClkalzSL5L,C,1,1
burgemeester,R_RKX6uClkalzSL5L,C,2,0
burgemeester,R_RKX6uClkalzSL5L,C,3,1
suiker,R_RKX6uClkalzSL5L,C,1,0
suiker,R_RKX6uClkalzSL5L,C,2,0
suiker,R_RKX6uClkalzSL5L,C,3,0
afbeelding,R_RKX6uClkalzSL5L,NC,1,0
afbeelding,R_RKX6uClkalzSL5L,NC,2,1
afbeelding,R_RKX6uClkalzSL5L,NC,3,0
water,R_RKX6uClkalzSL5L,NC,1,0
water,R_RKX6uClkalzSL5L,NC,2,1
water,R_RKX6uClkalzSL5L,NC,3,1
trein,R_RKX6uClkalzSL5L,NC,1,1
trein,R_RKX6uClkalzSL5L,NC,2,1
trein,R_RKX6uClkalzSL5L,NC,3,0
honing,R_RKX6uClkalzSL5L,NC,1,0
honing,R_RKX6uClkalzSL5L,NC,2,0
honing,R_RKX6uClkalzSL5L,NC,3,1
kans,R_RKX6uClkalzSL5L,NC,1,1
kans,R_RKX6uClkalzSL5L,NC,2,1
kans,R_RKX6uClkalzSL5L,NC,3,1
deur,R_RKX6uClkalzSL5L,C,1,0
deur,R_RKX6uClkalzSL5L,C,2,1
deur,R_RKX6uClkalzSL5L,C,3,0
geluk,R_RKX6uClkalzSL5L,C,1,0
geluk,R_RKX6uClkalzSL5L,C,2,1
geluk,R_RKX6uClkalzSL5L,C,3,1
katoen,R_RKX6uClkalzSL5L,C,1,1
katoen,R_RKX6uClkalzSL5L,C,2,0
katoen,R_RKX6uClkalzSL5L,C,3,1
ogen,R_RKX6uClkalzSL5L,C,1,1
ogen,R_RKX6uClkalzSL5L,C,2,0
ogen,R_RKX6uClkalzSL5L,C,3,0
minuut,R_RKX6uClkalzSL5L,C,1,0
minuut,R_RKX6uClkalzSL5L,C,2,0
minuut,R_RKX6uClkalzSL5L,C,3,1
bericht,R_RKX6uClkalzSL5L,NC,1,0
bericht,R_RKX6uClkalzSL5L,NC,2,0
bericht,R_RKX6uClkalzSL5L,NC,3,1
moeder,R_RKX6uClkalzSL5L,NC,1,0
moeder,R_RKX6uClkalzSL5L,NC,2,1
moeder,R_RKX6uClkalzSL5L,NC,3,1
verwachting,R_RKX6uClkalzSL5L,NC,1,1
verwachting,R_RKX6uClkalzSL5L,NC,2,1
verwachting,R_RKX6uClkalzSL5L,NC,3,0
manier,R_RKX6uClkalzSL5L,NC,1,0
manier,R_RKX6uClkalzSL5L,NC,2,0
manier,R_RKX6uClkalzSL5L,NC,3,1
gras,R_RKX6uClkalzSL5L,NC,1,1
gras,R_RKX6uClkalzSL5L,NC,2,1
gras,R_RKX6uClkalzSL5L,NC,3,0
inhoud,R_RKX6uClkalzSL5L,C,4,1
inhoud,R_RKX6uClkalzSL5L,C,5,0
